t_s,phase,frame,adapt_on,drift,drift_frac,err_masked_deg,err_leg_deg,err_all_deg,act_dev_max,dev_clamped,loop_ms
5.1607,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.05
5.1801,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.34
5.2005,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,12.27
5.2207,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.52
5.2405,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.69
5.2609,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.52
5.2807,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.01
5.3010,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.55
5.3207,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.71
5.3408,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.33
5.3610,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.41
5.3809,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.00
5.4009,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.59
5.4209,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.15
5.4402,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.40
5.4609,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.02
5.4809,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.19
5.5010,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.56
5.5206,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.15
5.5404,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,6.94
5.5610,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.33
5.5807,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.99
5.6010,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.58
5.6209,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.02
5.6402,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,13.88
5.6609,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.82
5.6808,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.05
5.7007,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.70
5.7208,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.16
5.7414,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.18
5.7608,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.27
5.7809,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.10
5.8010,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.80
5.8208,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.30
5.8407,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.11
5.8611,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.18
5.8807,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.05
5.9001,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.07
5.9209,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.83
5.9409,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.63
5.9602,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.17
5.9802,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.95
6.0007,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.88
6.0207,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.46
6.0402,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.59
6.0609,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.00
